######################################################################################################
# chan      Xsec[pb]        kFact       filtereff   HistSvc_name    physically_descriptive_name
######################################################################################################

# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
361412   9.859400E-03       9.013000E-01   2.887300E-01   Z                        Sherpa_CT10_Zmumu_Pt700_1000_CFilterBVeto                          
361413   1.020400E-02       9.013000E-01   1.786310E-01   Z                        Sherpa_CT10_Zmumu_Pt700_1000_BFilter                               
361414   1.248400E-03       9.013000E-01   5.491320E-01   Z                        Sherpa_CT10_Zmumu_Pt1000_2000_CVetoBVeto                           
361415   1.394600E-03       9.013000E-01   2.825080E-01   Z                        Sherpa_CT10_Zmumu_Pt1000_2000_CFilterBVeto                         
361416   1.408100E-03       9.013000E-01   1.980090E-01   Z                        Sherpa_CT10_Zmumu_Pt1000_2000_BFilter                              
361417   6.674500E-06       9.013000E-01   5.972610E-01   Z                        Sherpa_CT10_Zmumu_Pt2000_E_CMS_CVetoBVeto                          
361418   6.780700E-06       9.013000E-01   3.257840E-01   Z                        Sherpa_CT10_Zmumu_Pt2000_E_CMS_CFilterBVeto                        
361419   1.296800E-05       9.013000E-01   2.466490E-01   Z                        Sherpa_CT10_Zmumu_Pt2000_E_CMS_BFilter                             
361420   2.196500E+03       9.013000E-01   7.781400E-01   Z                        Sherpa_CT10_Ztautau_Pt0_70_CVetoBVeto                              
361421   2.204100E+03       9.013000E-01   1.423350E-01   Z                        Sherpa_CT10_Ztautau_Pt0_70_CFilterBVeto                            
361422   2.205100E+03       9.013000E-01   7.921500E-02   Z                        Sherpa_CT10_Ztautau_Pt0_70_BFilter                                 
361423   7.632200E+01       9.013000E-01   6.479450E-01   Z                        Sherpa_CT10_Ztautau_Pt70_140_CVetoBVeto                            
361424   7.600400E+01       9.013000E-01   2.220030E-01   Z                        Sherpa_CT10_Ztautau_Pt70_140_CFilterBVeto                          
